center_id,item_name,category,quantity,unit,reorder_level,expiry_date
FAC-BAKROL-01,Diclofenac Gel,Analgesic,180,tubes,100,2028-01-31
FAC-BAKROL-01,Paracetamol 500mg Tablets,Analgesic,1000,tablets,100,2027-12-31
FAC-BAKROL-01,Amoxicillin 250mg Capsules,Antibiotic,500,capsules,50,2027-06-30
FAC-BAKROL-01,Amoxicillin 500mg,Antibiotic,1600,capsules,150,2027-09-30
FAC-BAKROL-01,Azithromycin 500mg,Antibiotic,900,tablets,100,2027-11-30
FAC-BAKROL-01,Metformin 500mg,Antidiabetic,2200,tablets,200,2028-04-30
FAC-BAKROL-01,Cetirizine 10mg,Antihistamine,4000,tablets,300,2028-03-31
FAC-BAKROL-01,Amlodipine 5mg,Antihypertensive,1500,tablets,100,2028-07-31
FAC-BAKROL-01,Ranitidine 150mg,Gastrointestinal,640,tablets,80,2026-10-31
FAC-BAKROL-01,ORS Sachets,Rehydration,7000,sachets,500,2028-12-31
FAC-BAKROL-01,Calcium 500mg,Supplement,1800,tablets,150,2028-02-29
FAC-BAKROL-01,Iron Folic Acid,Supplement,4400,tablets,300,2028-08-31
FAC-BAKROL-01,Vitamin C 500mg,Supplement,3000,tablets,200,2028-05-31
FAC-BVM-07,Ibuprofen 400mg,Analgesic,800,tablets,80,2028-05-31
FAC-BVM-07,Paracetamol 500mg,Analgesic,1200,tablets,100,2028-06-30
FAC-BVM-07,Amoxicillin 500mg,Antibiotic,700,capsules,75,2027-10-31
FAC-BVM-07,Metronidazole 400mg,Antibiotic,560,tablets,50,2027-09-30
FAC-BVM-07,Cetirizine 10mg,Antihistamine,1400,tablets,100,2028-04-30
FAC-BVM-07,Antiseptic Solution,Antiseptic,400,bottles,40,2028-07-31
FAC-BVM-07,Omeprazole 20mg,Gastrointestinal,600,capsules,60,2028-08-31
FAC-BVM-07,Thermometer Digital,Medical Equipment,20,pieces,3,2035-12-31
FAC-BVM-07,Examination Gloves,Medical Supplies,4000,pairs,300,2030-06-30
FAC-BVM-07,Gauze Pads,Medical Supplies,1200,pieces,100,2029-06-30
FAC-BVM-07,ORS Sachets,Rehydration,1800,sachets,150,2028-11-30
